Year,India,China,Japan
2000,4.1790685,4.48986941,7.15091301
2001,4.27642285,4.35354377,7.35919809
2002,4.24965764,4.54528788,7.47336461
2003,4.01356857,4.56107632,7.61100288
2004,3.95739354,4.4090707,7.65719447
2005,3.7911623,4.29369025,7.78066856
2006,3.63477792,4.1599283,7.80784261
2007,3.51754173,3.9967083,7.89046068
2008,3.5146788,4.25663806,8.19951431
2009,3.48538026,4.60359177,9.05829702
2010,3.27212144,4.45772172,9.15677291
2011,3.24645022,4.61926289,10.61671765
2012,3.32847398,4.7930862,10.79065328
2013,3.74842646,4.86611082,10.79159414
2014,3.62952477,4.96416417,10.83580344
2015,3.88825688,5.31586777,10.89815618
