Year,India,China,Japan,Korean_Republic,,
1960,3.65E+01,5.97E+01,4.43E+01,3.96E+00,,1.00E+01
1961,3.87E+01,5.01E+01,5.35E+01,2.42E+00,,
1962,4.16E+01,4.72E+01,6.07E+01,2.81E+00,,
1963,4.78E+01,5.07E+01,6.95E+01,3.99E+00,,
1964,5.57E+01,5.97E+01,8.17E+01,3.46E+00,,
1965,5.88E+01,7.04E+01,9.10E+01,3.12E+00,,
1966,4.53E+01,7.67E+01,1.06E+02,3.93E+00,,
1967,4.95E+01,7.29E+01,1.24E+02,4.85E+00,,
1968,5.24E+01,7.08E+01,1.47E+02,6.12E+00,,
1969,5.77E+01,7.97E+01,1.72E+02,7.68E+00,,
1970,6.16E+01,9.26E+01,2.13E+02,9.00E+00,,
1971,6.65E+01,9.98E+01,2.40E+02,9.89E+00,,
1972,7.05E+01,1.14E+02,3.18E+02,1.08E+01,,
1973,8.44E+01,1.39E+02,4.32E+02,1.38E+01,,
1974,9.82E+01,1.44E+02,4.80E+02,1.95E+01,,
1975,9.72E+01,1.63E+02,5.22E+02,2.17E+01,,
1976,1.01E+02,1.54E+02,5.86E+02,2.98E+01,,
1977,1.20E+02,1.75E+02,7.21E+02,3.83E+01,,
1978,1.35E+02,1.50E+02,1.01E+03,5.17E+01,,
1979,1.51E+02,1.78E+02,1.06E+03,6.66E+01,,
1980,1.84E+02,1.91E+02,1.11E+03,6.50E+01,,
1981,1.91E+02,1.96E+02,1.22E+03,7.24E+01,,
1982,1.98E+02,2.05E+02,1.13E+03,7.78E+01,,
1983,2.15E+02,2.31E+02,1.24E+03,8.70E+01,,
1984,2.09E+02,2.60E+02,1.32E+03,9.66E+01,,
1985,2.29E+02,3.09E+02,1.40E+03,1.00E+02,,
1986,2.46E+02,3.01E+02,2.08E+03,1.16E+02,,
1987,2.75E+02,2.73E+02,2.53E+03,1.46E+02,,
1988,2.93E+02,3.12E+02,3.07E+03,1.97E+02,,
1989,2.92E+02,3.48E+02,3.05E+03,2.44E+02,,
1990,3.17E+02,3.61E+02,3.13E+03,2.79E+02,,
1991,2.67E+02,3.83E+02,3.58E+03,3.26E+02,,
1992,2.84E+02,4.27E+02,3.91E+03,3.50E+02,,
1993,2.76E+02,4.45E+02,4.45E+03,3.86E+02,,
1994,3.23E+02,5.64E+02,4.91E+03,4.56E+02,,
1995,3.55E+02,7.35E+02,5.45E+03,5.56E+02,,
1996,3.88E+02,8.64E+02,4.83E+03,5.98E+02,,
1997,4.10E+02,9.62E+02,4.41E+03,5.58E+02,,
1998,4.16E+02,1.03E+03,4.03E+03,3.74E+02,,
1999,4.53E+02,1.09E+03,4.56E+03,4.85E+02,,
2000,4.62E+02,1.21E+03,4.89E+03,5.62E+02,,
2001,4.79E+02,1.34E+03,4.30E+03,5.33E+02,,
2002,5.08E+02,1.47E+03,4.12E+03,6.09E+02,,
2003,6.00E+02,1.66E+03,4.45E+03,6.81E+02,,
2004,7.00E+02,1.96E+03,4.82E+03,7.65E+02,,
2005,8.09E+02,2.29E+03,4.76E+03,8.98E+02,,
2006,9.20E+02,2.75E+03,4.53E+03,1.01E+03,,
2007,1.20E+03,3.55E+03,4.52E+03,1.12E+03,,
2008,1.19E+03,4.60E+03,5.04E+03,1.00E+03,,
2009,1.32E+03,5.11E+03,5.23E+03,9.02E+02,,
2010,1.66E+03,6.10E+03,5.70E+03,1.09E+03,,
2011,1.82E+03,7.57E+03,6.16E+03,1.20E+03,,
2012,1.83E+03,8.56E+03,6.20E+03,1.22E+03,,
2013,1.86E+03,9.61E+03,5.16E+03,1.31E+03,,
2014,2.04E+03,1.05E+04,4.85E+03,1.41E+03,,
2015,2.10E+03,1.11E+04,4.39E+03,1.38E+03,,
2016,2.27E+03,1.12E+04,4.95E+03,1.41E+03,,
2017,2.60E+03,1.22E+04,4.87E+03,1.53E+03,,
